"Geneid","GeneName","NewName","GeneType","chr","start","end","strand","9_SC1","10_Ssh1","11_SC2","12_Ssh2"
"ENSG00000070182","SPTB","ENSG00000070182_SPTB","protein_coding","chr14",64746283,64879907,"-",19,13,10,47
"ENSG00000070190","DAPP1","ENSG00000070190_DAPP1","protein_coding","chr4",99816827,99870190,"+",232,180,267,333
"ENSG00000070214","SLC44A1","ENSG00000070214_SLC44A1","protein_coding","chr9",105244622,105439171,"+",3359,1895,1776,2411
"ENSG00000070269","TMEM260","ENSG00000070269_TMEM260","protein_coding","chr14",56488354,56650606,"+",554,364,278,358
"ENSG00000070366","SMG6","ENSG00000070366_SMG6","protein_coding","chr17",2059839,2303785,"-",1264,926,711,1050
"ENSG00000070367","EXOC5","ENSG00000070367_EXOC5","protein_coding","chr14",57200507,57268905,"-",1951,968,1000,1188
"ENSG00000070371","CLTCL1","ENSG00000070371_CLTCL1","protein_coding","chr22",19179473,19291719,"-",102,111,64,86
"ENSG00000070404","FSTL3","ENSG00000070404_FSTL3","protein_coding","chr19",676392,683392,"+",1390,1944,1208,2572
"ENSG00000070413","DGCR2","ENSG00000070413_DGCR2","protein_coding","chr22",19036282,19122454,"-",3971,3736,2097,2540
"ENSG00000070423","RNF126","ENSG00000070423_RNF126","protein_coding","chr19",647526,663233,"-",1105,907,911,767
"ENSG00000070444","MNT","ENSG00000070444_MNT","protein_coding","chr17",2384073,2401104,"-",320,339,241,427
"ENSG00000070476","ZXDC","ENSG00000070476_ZXDC","protein_coding","chr3",126437601,126475891,"-",806,607,470,614
"ENSG00000070495","JMJD6","ENSG00000070495_JMJD6","protein_coding","chr17",76712832,76726799,"-",1089,719,681,1279
"ENSG00000070501","POLB","ENSG00000070501_POLB","protein_coding","chr8",42338454,42371808,"+",591,380,410,667
"ENSG00000070540","WIPI1","ENSG00000070540_WIPI1","protein_coding","chr17",68420948,68457513,"-",368,706,578,800
"ENSG00000070610","GBA2","ENSG00000070610_GBA2","protein_coding","chr9",35736866,35749228,"-",1524,1342,931,1462
"ENSG00000070614","NDST1","ENSG00000070614_NDST1","protein_coding","chr5",150485818,150558211,"+",4125,3794,1789,3178
"ENSG00000070669","ASNS","ENSG00000070669_ASNS","protein_coding","chr7",97851677,97872542,"-",16,20,43,36
"ENSG00000070718","AP3M2","ENSG00000070718_AP3M2","protein_coding","chr8",42152946,42171673,"+",1446,931,887,1705
"ENSG00000070731","ST6GALNAC2","ENSG00000070731_ST6GALNAC2","protein_coding","chr17",76565377,76586956,"-",200,284,104,133
"ENSG00000070756","PABPC1","ENSG00000070756_PABPC1","protein_coding","chr8",100685816,100722809,"-",84739,39921,50545,70096
"ENSG00000070759","TESK2","ENSG00000070759_TESK2","protein_coding","chr1",45343883,45491163,"-",151,99,90,207
"ENSG00000070761","CFAP20","ENSG00000070761_CFAP20","protein_coding","chr16",58113592,58129381,"-",1182,674,826,1049
"ENSG00000070770","CSNK2A2","ENSG00000070770_CSNK2A2","protein_coding","chr16",58157907,58198106,"-",3998,2682,2538,3452
"ENSG00000070778","PTPN21","ENSG00000070778_PTPN21","protein_coding","chr14",88465778,88555007,"-",642,417,374,418
"ENSG00000070785","EIF2B3","ENSG00000070785_EIF2B3","protein_coding","chr1",44850522,44986722,"-",1429,670,712,922
"ENSG00000070814","TCOF1","ENSG00000070814_TCOF1","protein_coding","chr5",150357629,150400308,"+",9797,3334,4777,4993
"ENSG00000070831","CDC42","ENSG00000070831_CDC42","protein_coding","chr1",22052627,22101360,"+",8794,6741,5230,8132
"ENSG00000070882","OSBPL3","ENSG00000070882_OSBPL3","protein_coding","chr7",24796540,24981634,"-",2487,1012,933,1187
"ENSG00000070950","RAD18","ENSG00000070950_RAD18","protein_coding","chr3",8775402,8963773,"-",1528,680,850,1040
"ENSG00000070961","ATP2B1","ENSG00000070961_ATP2B1","protein_coding","chr12",89588049,89709366,"-",1627,668,674,1205
"ENSG00000071051","NCK2","ENSG00000071051_NCK2","protein_coding","chr2",105744912,105894274,"+",885,992,730,1052
"ENSG00000071054","MAP4K4","ENSG00000071054_MAP4K4","protein_coding","chr2",101696850,101894690,"+",6478,3392,3872,4636
"ENSG00000071073","MGAT4A","ENSG00000071073_MGAT4A","protein_coding","chr2",98619106,98731132,"-",150,94,94,160
"ENSG00000071082","RPL31","ENSG00000071082_RPL31","protein_coding","chr2",101002229,101024032,"+",13875,11258,9690,12071
"ENSG00000071127","WDR1","ENSG00000071127_WDR1","protein_coding","chr4",10068089,10116972,"-",9507,8795,6905,10068
"ENSG00000071189","SNX13","ENSG00000071189_SNX13","protein_coding","chr7",17790761,17940501,"-",1315,715,646,857
"ENSG00000071205","ARHGAP10","ENSG00000071205_ARHGAP10","protein_coding","chr4",147732063,148072776,"+",593,332,323,455
"ENSG00000071242","RPS6KA2","ENSG00000071242_RPS6KA2","protein_coding","chr6",166409364,166906451,"-",132,250,208,402
"ENSG00000071243","ING3","ENSG00000071243_ING3","protein_coding","chr7",120950763,120977216,"+",368,104,171,118
"ENSG00000071246","VASH1","ENSG00000071246_VASH1","protein_coding","chr14",76761468,76783015,"+",259,538,96,444
"ENSG00000071282","LMCD1","ENSG00000071282_LMCD1","protein_coding","chr3",8501807,8574668,"+",83,67,68,67
"ENSG00000071462","BUD23","ENSG00000071462_BUD23","protein_coding","chr7",73683597,73698212,"+",3710,2512,2975,3683
"ENSG00000071537","SEL1L","ENSG00000071537_SEL1L","protein_coding","chr14",81471547,81533853,"-",1165,1004,2070,1921
"ENSG00000071539","TRIP13","ENSG00000071539_TRIP13","protein_coding","chr5",892884,919357,"+",3508,796,1572,1343
"ENSG00000071553","ATP6AP1","ENSG00000071553_ATP6AP1","protein_coding","chrX",154428633,154436516,"+",4342,4155,2435,4309
"ENSG00000071564","TCF3","ENSG00000071564_TCF3","protein_coding","chr19",1609291,1652615,"-",4596,2784,2611,3125
"ENSG00000071575","TRIB2","ENSG00000071575_TRIB2","protein_coding","chr2",12716910,12742734,"+",754,653,371,871
"ENSG00000071626","DAZAP1","ENSG00000071626_DAZAP1","protein_coding","chr19",1407569,1435687,"+",5519,3365,3907,3687
"ENSG00000071655","MBD3","ENSG00000071655_MBD3","protein_coding","chr19",1573596,1592865,"-",2755,2633,1659,1987
"ENSG00000071794","HLTF","ENSG00000071794_HLTF","protein_coding","chr3",149030127,149086554,"-",1110,867,528,847
"ENSG00000071859","FAM50A","ENSG00000071859_FAM50A","protein_coding","chrX",154444141,154450654,"+",1236,1427,949,1468
"ENSG00000071889","FAM3A","ENSG00000071889_FAM3A","protein_coding","chrX",154506159,154516242,"-",883,1021,658,778
"ENSG00000071894","CPSF1","ENSG00000071894_CPSF1","protein_coding","chr8",144393229,144409335,"-",2813,1838,1673,1675
"ENSG00000071909","MYO3B","ENSG00000071909_MYO3B","protein_coding","chr2",170178145,170655171,"+",296,331,118,299
"ENSG00000071967","CYBRD1","ENSG00000071967_CYBRD1","protein_coding","chr2",171522247,171558129,"+",2845,1957,1875,2235
"ENSG00000071994","PDCD2","ENSG00000071994_PDCD2","protein_coding","chr6",170575295,170584692,"-",3477,2130,1840,2843
"ENSG00000072041","SLC6A15","ENSG00000072041_SLC6A15","protein_coding","chr12",84859491,84913629,"-",1355,981,746,1265
"ENSG00000072042","RDH11","ENSG00000072042_RDH11","protein_coding","chr14",67676800,67695793,"-",4448,3893,2691,4363
"ENSG00000072062","PRKACA","ENSG00000072062_PRKACA","protein_coding","chr19",14091688,14118084,"-",3054,2048,1538,1905
"ENSG00000072071","ADGRL1","ENSG00000072071_ADGRL1","protein_coding","chr19",14147743,14206187,"-",2959,2257,1846,2734
"ENSG00000072110","ACTN1","ENSG00000072110_ACTN1","protein_coding","chr14",68874128,68979440,"-",13627,13512,12631,18402
"ENSG00000072121","ZFYVE26","ENSG00000072121_ZFYVE26","protein_coding","chr14",67727374,67816590,"-",1206,776,615,1205
"ENSG00000072133","RPS6KA6","ENSG00000072133_RPS6KA6","protein_coding","chrX",84058346,84206356,"-",259,144,115,166
"ENSG00000072134","EPN2","ENSG00000072134_EPN2","protein_coding","chr17",19215615,19336715,"+",1779,1215,1104,1162
"ENSG00000072135","PTPN18","ENSG00000072135_PTPN18","protein_coding","chr2",130356045,130375405,"+",903,597,556,712
"ENSG00000072163","LIMS2","ENSG00000072163_LIMS2","protein_coding","chr2",127638381,127681786,"-",32,84,48,84
"ENSG00000072182","ASIC4","ENSG00000072182_ASIC4","protein_coding","chr2",219514170,219538772,"+",27,86,8,47
"ENSG00000072195","SPEG","ENSG00000072195_SPEG","protein_coding","chr2",219434843,219493629,"+",1204,1270,699,712
"ENSG00000072201","LNX1","ENSG00000072201_LNX1","protein_coding","chr4",53459301,53701405,"-",29,43,18,37
"ENSG00000072210","ALDH3A2","ENSG00000072210_ALDH3A2","protein_coding","chr17",19648136,19685760,"+",3759,3099,1681,2481
"ENSG00000072274","TFRC","ENSG00000072274_TFRC","protein_coding","chr3",196012511,196082153,"-",1957,1943,1161,2668
"ENSG00000072310","SREBF1","ENSG00000072310_SREBF1","protein_coding","chr17",17810399,17837002,"-",4398,6510,2935,3428
"ENSG00000072364","AFF4","ENSG00000072364_AFF4","protein_coding","chr5",132875395,132963634,"-",3953,2616,2022,3622
"ENSG00000072401","UBE2D1","ENSG00000072401_UBE2D1","protein_coding","chr10",58334979,58370751,"+",617,320,286,399
"ENSG00000072415","PALS1","ENSG00000072415_PALS1","protein_coding","chr14",67240713,67336061,"+",1081,634,558,928
"ENSG00000072422","RHOBTB1","ENSG00000072422_RHOBTB1","protein_coding","chr10",60869438,61001440,"-",182,172,86,227
"ENSG00000072501","SMC1A","ENSG00000072501_SMC1A","protein_coding","chrX",53374149,53422728,"-",11119,4162,4986,6754
"ENSG00000072506","HSD17B10","ENSG00000072506_HSD17B10","protein_coding","chrX",53431258,53434370,"-",1810,2303,1140,2480
"ENSG00000072518","MARK2","ENSG00000072518_MARK2","protein_coding","chr11",63838928,63911020,"+",2499,1758,1410,2342
"ENSG00000072571","HMMR","ENSG00000072571_HMMR","protein_coding","chr5",163460203,163491941,"+",1782,182,579,293
"ENSG00000072609","CHFR","ENSG00000072609_CHFR","protein_coding","chr12",132822187,132956304,"-",810,892,642,817
"ENSG00000072682","P4HA2","ENSG00000072682_P4HA2","protein_coding","chr5",132190147,132295315,"-",1278,1739,801,2112
"ENSG00000072736","NFATC3","ENSG00000072736_NFATC3","protein_coding","chr16",68084751,68229259,"+",1058,585,461,892
"ENSG00000072756","TRNT1","ENSG00000072756_TRNT1","protein_coding","chr3",3126933,3153435,"+",654,386,344,489
"ENSG00000072778","ACADVL","ENSG00000072778_ACADVL","protein_coding","chr17",7217125,7225266,"+",7853,6550,4323,5714
"ENSG00000072786","STK10","ENSG00000072786_STK10","protein_coding","chr5",172042079,172188224,"-",1034,999,910,1487
"ENSG00000072803","FBXW11","ENSG00000072803_FBXW11","protein_coding","chr5",171861549,172006873,"-",1728,1277,925,1907
"ENSG00000072818","ACAP1","ENSG00000072818_ACAP1","protein_coding","chr17",7336529,7351477,"+",24,62,22,37
"ENSG00000072840","EVC","ENSG00000072840_EVC","protein_coding","chr4",5711201,5814305,"+",492,374,282,319
"ENSG00000072849","DERL2","ENSG00000072849_DERL2","protein_coding","chr17",5471254,5486811,"-",970,810,1028,988
"ENSG00000072864","NDE1","ENSG00000072864_NDE1","protein_coding","chr16",15643267,15734691,"+",1934,578,710,665
"ENSG00000072954","TMEM38A","ENSG00000072954_TMEM38A","protein_coding","chr19",16661139,16690023,"+",499,663,308,859
"ENSG00000072958","AP1M1","ENSG00000072958_AP1M1","protein_coding","chr19",16197854,16245906,"+",1767,1742,1335,1608
"ENSG00000073008","PVR","ENSG00000073008_PVR","protein_coding","chr19",44643798,44666162,"+",2359,1418,1967,2366
"ENSG00000073050","XRCC1","ENSG00000073050_XRCC1","protein_coding","chr19",43543311,43580473,"-",973,754,648,752
"ENSG00000073060","SCARB1","ENSG00000073060_SCARB1","protein_coding","chr12",124776856,124882668,"-",2690,2460,1711,2681
"ENSG00000073111","MCM2","ENSG00000073111_MCM2","protein_coding","chr3",127598223,127622436,"+",4570,1470,2225,2082
"ENSG00000073146","MOV10L1","ENSG00000073146_MOV10L1","protein_coding","chr22",50090006,50161690,"+",10,22,8,10
"ENSG00000073150","PANX2","ENSG00000073150_PANX2","protein_coding","chr22",50170731,50180295,"+",25,88,29,65
"ENSG00000073169","SELENOO","ENSG00000073169_SELENOO","protein_coding","chr22",50201011,50217616,"+",1175,1036,676,738
"ENSG00000073282","TP63","ENSG00000073282_TP63","protein_coding","chr3",189631389,189897276,"+",6689,6822,3572,5860
"ENSG00000073331","ALPK1","ENSG00000073331_ALPK1","protein_coding","chr4",112285509,112442621,"+",383,402,244,382
"ENSG00000073350","LLGL2","ENSG00000073350_LLGL2","protein_coding","chr17",75525080,75575209,"+",685,792,577,738
"ENSG00000073417","PDE8A","ENSG00000073417_PDE8A","protein_coding","chr15",84980440,85139145,"+",558,348,281,366
"ENSG00000073464","CLCN4","ENSG00000073464_CLCN4","protein_coding","chrX",10156975,10237660,"+",314,304,146,266
"ENSG00000073536","NLE1","ENSG00000073536_NLE1","protein_coding","chr17",35128730,35142304,"-",1375,472,693,578
"ENSG00000073578","SDHA","ENSG00000073578_SDHA","protein_coding","chr5",218303,257082,"+",664,564,833,720
"ENSG00000073584","SMARCE1","ENSG00000073584_SMARCE1","protein_coding","chr17",40624962,40648654,"-",134,77,55,57
"ENSG00000073605","GSDMB","ENSG00000073605_GSDMB","protein_coding","chr17",39904595,39919854,"-",157,152,77,192
"ENSG00000073614","KDM5A","ENSG00000073614_KDM5A","protein_coding","chr12",280057,389320,"-",1629,1015,960,1571
"ENSG00000073670","ADAM11","ENSG00000073670_ADAM11","protein_coding","chr17",44758988,44781846,"+",81,31,48,54
"ENSG00000073711","PPP2R3A","ENSG00000073711_PPP2R3A","protein_coding","chr3",135965728,136147894,"+",857,678,395,716
"ENSG00000073712","FERMT2","ENSG00000073712_FERMT2","protein_coding","chr14",52857268,52952435,"-",881,741,746,1159
"ENSG00000073737","DHRS9","ENSG00000073737_DHRS9","protein_coding","chr2",169064789,169096167,"+",37,18,4,6
"ENSG00000073756","PTGS2","ENSG00000073756_PTGS2","protein_coding","chr1",186671791,186680922,"-",45,34,203,163
"ENSG00000073792","IGF2BP2","ENSG00000073792_IGF2BP2","protein_coding","chr3",185643130,185825042,"-",2316,1866,2467,3263
"ENSG00000073803","MAP3K13","ENSG00000073803_MAP3K13","protein_coding","chr3",185282941,185489094,"+",913,660,571,770
"ENSG00000073849","ST6GAL1","ENSG00000073849_ST6GAL1","protein_coding","chr3",186930325,187078553,"+",114,118,83,122
"ENSG00000073905","VDAC1P1","ENSG00000073905_VDAC1P1","processed_pseudogene","chrX",80929500,80930347,"+",170,100,95,136
"ENSG00000073921","PICALM","ENSG00000073921_PICALM","protein_coding","chr11",85957175,86069882,"-",3927,2921,2662,3544
"ENSG00000073969","NSF","ENSG00000073969_NSF","protein_coding","chr17",46590669,46757679,"+",834,457,485,579
"ENSG00000074047","GLI2","ENSG00000074047_GLI2","protein_coding","chr2",120735623,120992653,"+",12,9,7,28
"ENSG00000074054","CLASP1","ENSG00000074054_CLASP1","protein_coding","chr2",121337776,121649476,"-",2037,1434,1050,1362
"ENSG00000074071","MRPS34","ENSG00000074071_MRPS34","protein_coding","chr16",1771890,1773150,"-",2737,2070,1867,2238
"ENSG00000074181","NOTCH3","ENSG00000074181_NOTCH3","protein_coding","chr19",15159038,15200995,"-",350,797,165,871
"ENSG00000074201","CLNS1A","ENSG00000074201_CLNS1A","protein_coding","chr11",77514936,77637794,"-",3172,1765,1844,2188
"ENSG00000074211","PPP2R2C","ENSG00000074211_PPP2R2C","protein_coding","chr4",6320578,6563600,"-",10,65,8,117
"ENSG00000074219","TEAD2","ENSG00000074219_TEAD2","protein_coding","chr19",49340595,49362457,"-",1906,1210,1029,1535
"ENSG00000074266","EED","ENSG00000074266_EED","protein_coding","chr11",86201212,86278813,"+",873,410,519,712
"ENSG00000074317","SNCB","ENSG00000074317_SNCB","protein_coding","chr5",176620082,176630556,"-",23,23,22,32
"ENSG00000074319","TSG101","ENSG00000074319_TSG101","protein_coding","chr11",18468336,18526951,"-",2271,1395,1287,1919
"ENSG00000074356","NCBP3","ENSG00000074356_NCBP3","protein_coding","chr17",3802158,3846246,"-",2204,1414,1231,1480
"ENSG00000074370","ATP2A3","ENSG00000074370_ATP2A3","protein_coding","chr17",3923870,3964464,"-",120,341,116,434
"ENSG00000074410","CA12","ENSG00000074410_CA12","protein_coding","chr15",63321378,63381846,"-",81,62,34,33
"ENSG00000074416","MGLL","ENSG00000074416_MGLL","protein_coding","chr3",127689062,128052190,"-",647,807,751,1257
"ENSG00000074527","NTN4","ENSG00000074527_NTN4","protein_coding","chr12",95657807,95791189,"-",542,690,214,587
"ENSG00000074582","BCS1L","ENSG00000074582_BCS1L","protein_coding","chr2",218658764,218663443,"+",1719,668,957,914
"ENSG00000074590","NUAK1","ENSG00000074590_NUAK1","protein_coding","chr12",106063345,106138954,"-",467,459,328,715
"ENSG00000074603","DPP8","ENSG00000074603_DPP8","protein_coding","chr15",65442463,65517704,"-",1602,1298,966,1536
"ENSG00000074621","SLC24A1","ENSG00000074621_SLC24A1","protein_coding","chr15",65611366,65660995,"+",112,55,75,41
"ENSG00000074657","ZNF532","ENSG00000074657_ZNF532","protein_coding","chr18",58862600,58986480,"+",1201,795,709,1061
"ENSG00000074660","SCARF1","ENSG00000074660_SCARF1","protein_coding","chr17",1633858,1645744,"-",4,33,5,23
"ENSG00000074695","LMAN1","ENSG00000074695_LMAN1","protein_coding","chr18",59327823,59359265,"-",3704,2272,2767,3869
"ENSG00000074696","HACD3","ENSG00000074696_HACD3","protein_coding","chr15",65530418,65578349,"+",2359,1404,1359,1796
"ENSG00000074755","ZZEF1","ENSG00000074755_ZZEF1","protein_coding","chr17",4004445,4143030,"-",1817,1190,992,1175
"ENSG00000074800","ENO1","ENSG00000074800_ENO1","protein_coding","chr1",8861000,8879190,"-",62651,37390,43611,48420
"ENSG00000074842","MYDGF","ENSG00000074842_MYDGF","protein_coding","chr19",4641374,4670362,"-",1540,1395,1847,2122
"ENSG00000074855","ANO8","ENSG00000074855_ANO8","protein_coding","chr19",17323223,17334855,"-",561,652,310,541
"ENSG00000074935","TUBE1","ENSG00000074935_TUBE1","protein_coding","chr6",112070663,112087529,"-",390,271,360,458
"ENSG00000074964","ARHGEF10L","ENSG00000074964_ARHGEF10L","protein_coding","chr1",17539698,17697874,"+",573,473,299,397
"ENSG00000075043","KCNQ2","ENSG00000075043_KCNQ2","protein_coding","chr20",63400208,63472677,"-",82,109,66,130
"ENSG00000075089","ACTR6","ENSG00000075089_ACTR6","protein_coding","chr12",100199122,100241865,"+",741,335,426,472
"ENSG00000075131","TIPIN","ENSG00000075131_TIPIN","protein_coding","chr15",66336191,66386746,"-",608,140,250,176
"ENSG00000075142","SRI","ENSG00000075142_SRI","protein_coding","chr7",88205115,88226993,"-",3587,2570,2089,3111
"ENSG00000075151","EIF4G3","ENSG00000075151_EIF4G3","protein_coding","chr1",20806292,21177285,"-",2847,1804,1389,2004
"ENSG00000075188","NUP37","ENSG00000075188_NUP37","protein_coding","chr12",102073103,102120120,"-",2256,950,1111,1208
"ENSG00000075213","SEMA3A","ENSG00000075213_SEMA3A","protein_coding","chr7",83955777,84492724,"-",147,74,122,151
"ENSG00000075218","GTSE1","ENSG00000075218_GTSE1","protein_coding","chr22",46296870,46330810,"+",2562,322,740,581
"ENSG00000075223","SEMA3C","ENSG00000075223_SEMA3C","protein_coding","chr7",80742538,80922359,"-",1866,1697,649,1031
"ENSG00000075234","TTC38","ENSG00000075234_TTC38","protein_coding","chr22",46267961,46294008,"+",538,371,276,294
"ENSG00000075239","ACAT1","ENSG00000075239_ACAT1","protein_coding","chr11",108116695,108147603,"+",2733,1816,1823,2577
"ENSG00000075240","GRAMD4","ENSG00000075240_GRAMD4","protein_coding","chr22",46576012,46679790,"+",527,433,296,406
"ENSG00000075275","CELSR1","ENSG00000075275_CELSR1","protein_coding","chr22",46360834,46537620,"-",1443,1625,793,1044
"ENSG00000075290","WNT8B","ENSG00000075290_WNT8B","protein_coding","chr10",100463009,100483744,"+",30,30,12,29
"ENSG00000075292","ZNF638","ENSG00000075292_ZNF638","protein_coding","chr2",71276561,71435069,"+",2151,1776,1335,2248
"ENSG00000075303","SLC25A40","ENSG00000075303_SLC25A40","protein_coding","chr7",87833568,87876360,"-",833,365,335,439
"ENSG00000075336","TIMM21","ENSG00000075336_TIMM21","protein_coding","chr18",74148523,74160531,"+",975,398,493,427
"ENSG00000075340","ADD2","ENSG00000075340_ADD2","protein_coding","chr2",70607618,70768225,"-",108,76,70,173
"ENSG00000075391","RASAL2","ENSG00000075391_RASAL2","protein_coding","chr1",178094104,178484147,"+",1079,532,623,716
"ENSG00000075399","VPS9D1","ENSG00000075399_VPS9D1","protein_coding","chr16",89707134,89720898,"-",82,183,70,82
"ENSG00000075407","ZNF37A","ENSG00000075407_ZNF37A","protein_coding","chr10",38094334,38150293,"+",489,234,202,299
"ENSG00000075413","MARK3","ENSG00000075413_MARK3","protein_coding","chr14",103385377,103503831,"+",2975,2714,2169,3327
"ENSG00000075415","SLC25A3","ENSG00000075415_SLC25A3","protein_coding","chr12",98593591,98606379,"+",14013,7850,8586,9749
"ENSG00000075420","FNDC3B","ENSG00000075420_FNDC3B","protein_coding","chr3",172039578,172401669,"+",1136,848,962,997
"ENSG00000075426","FOSL2","ENSG00000075426_FOSL2","protein_coding","chr2",28392448,28417317,"+",1916,1807,721,1925
"ENSG00000075461","CACNG4","ENSG00000075461_CACNG4","protein_coding","chr17",66964707,67033398,"+",38,101,34,84
"ENSG00000075539","FRYL","ENSG00000075539_FRYL","protein_coding","chr4",48497357,48780322,"-",2073,1221,1038,1608
"ENSG00000075568","TMEM131","ENSG00000075568_TMEM131","protein_coding","chr2",97756333,97995948,"-",2286,1399,1048,1345
"ENSG00000075618","FSCN1","ENSG00000075618_FSCN1","protein_coding","chr7",5592816,5606655,"+",7987,8553,7860,11302
"ENSG00000075624","ACTB","ENSG00000075624_ACTB","protein_coding","chr7",5526409,5563902,"-",111601,92988,90374,102498
"ENSG00000075643","MOCOS","ENSG00000075643_MOCOS","protein_coding","chr18",36187497,36272157,"+",1543,1140,1055,1560
"ENSG00000075651","PLD1","ENSG00000075651_PLD1","protein_coding","chr3",171600404,171810950,"-",292,379,117,318
"ENSG00000075673","ATP12A","ENSG00000075673_ATP12A","protein_coding","chr13",24680408,24712472,"+",1,19,6,36
"ENSG00000075702","WDR62","ENSG00000075702_WDR62","protein_coding","chr19",36054649,36105108,"+",1965,450,792,822
"ENSG00000075711","DLG1","ENSG00000075711_DLG1","protein_coding","chr3",197042560,197299330,"-",2549,1396,1293,1545
"ENSG00000075785","RAB7A","ENSG00000075785_RAB7A","protein_coding","chr3",128693669,128825942,"+",10837,8065,6810,9660
"ENSG00000075790","BCAP29","ENSG00000075790_BCAP29","protein_coding","chr7",107580246,107629170,"+",1433,823,834,875
"ENSG00000075826","SEC31B","ENSG00000075826_SEC31B","protein_coding","chr10",100486646,100519864,"-",229,273,158,221
"ENSG00000075856","SART3","ENSG00000075856_SART3","protein_coding","chr12",108522214,108561400,"-",3190,1549,1946,2338
"ENSG00000075891","PAX2","ENSG00000075891_PAX2","protein_coding","chr10",100735396,100829944,"+",4,29,6,8
"ENSG00000075914","EXOSC7","ENSG00000075914_EXOSC7","protein_coding","chr3",44975241,45036066,"+",1726,1211,1063,1508
"ENSG00000075945","KIFAP3","ENSG00000075945_KIFAP3","protein_coding","chr1",169921326,170085208,"-",806,658,682,957
"ENSG00000075975","MKRN2","ENSG00000075975_MKRN2","protein_coding","chr3",12557057,12586208,"+",1486,1231,960,1572
"ENSG00000076003","MCM6","ENSG00000076003_MCM6","protein_coding","chr2",135839626,135876443,"-",3419,1305,1777,1758
"ENSG00000076043","REXO2","ENSG00000076043_REXO2","protein_coding","chr11",114439435,114450279,"+",2057,1511,1430,1704
"ENSG00000076053","RBM7","ENSG00000076053_RBM7","protein_coding","chr11",114400030,114414203,"+",597,348,286,465
"ENSG00000076067","RBMS2","ENSG00000076067_RBMS2","protein_coding","chr12",56521820,56596193,"+",2200,1621,1488,2104
"ENSG00000076108","BAZ2A","ENSG00000076108_BAZ2A","protein_coding","chr12",56595596,56636816,"-",4060,4074,2355,6827
"ENSG00000076201","PTPN23","ENSG00000076201_PTPN23","protein_coding","chr3",47381011,47413435,"+",2399,1550,1452,1906
"ENSG00000076242","MLH1","ENSG00000076242_MLH1","protein_coding","chr3",36993226,37050896,"+",1749,602,806,651
"ENSG00000076248","UNG","ENSG00000076248_UNG","protein_coding","chr12",109097597,109126725,"+",2852,1915,1778,2501
"ENSG00000076258","FMO4","ENSG00000076258_FMO4","protein_coding","chr1",171314183,171342084,"+",27,29,20,15
"ENSG00000076321","KLHL20","ENSG00000076321_KLHL20","protein_coding","chr1",173714941,173786692,"+",494,314,286,370
"ENSG00000076344","RGS11","ENSG00000076344_RGS11","protein_coding","chr16",268301,275980,"-",52,158,41,43
"ENSG00000076351","SLC46A1","ENSG00000076351_SLC46A1","protein_coding","chr17",28394642,28407197,"-",628,474,316,429
"ENSG00000076356","PLXNA2","ENSG00000076356_PLXNA2","protein_coding","chr1",208022242,208244384,"-",763,404,481,755
"ENSG00000076382","SPAG5","ENSG00000076382_SPAG5","protein_coding","chr17",28577565,28599025,"-",4613,801,1400,1366
"ENSG00000076513","ANKRD13A","ENSG00000076513_ANKRD13A","protein_coding","chr12",109999186,110039763,"+",4572,2543,2046,2294
"ENSG00000076554","TPD52","ENSG00000076554_TPD52","protein_coding","chr8",80034745,80231232,"-",1143,651,567,950
"ENSG00000076555","ACACB","ENSG00000076555_ACACB","protein_coding","chr12",109116587,109268226,"+",547,595,330,577
"ENSG00000076604","TRAF4","ENSG00000076604_TRAF4","protein_coding","chr17",28744011,28750956,"+",2275,1741,1411,2406
"ENSG00000076641","PAG1","ENSG00000076641_PAG1","protein_coding","chr8",80967810,81112068,"-",144,40,95,191
"ENSG00000076650","GPATCH1","ENSG00000076650_GPATCH1","protein_coding","chr19",33080899,33130542,"+",614,370,311,427
"ENSG00000076662","ICAM3","ENSG00000076662_ICAM3","protein_coding","chr19",10333776,10339661,"-",409,284,265,401
"ENSG00000076685","NT5C2","ENSG00000076685_NT5C2","protein_coding","chr10",103087185,103277605,"-",2121,1725,1255,1802
"ENSG00000076706","MCAM","ENSG00000076706_MCAM","protein_coding","chr11",119308529,119321521,"-",966,1017,737,1768
"ENSG00000076716","GPC4","ENSG00000076716_GPC4","protein_coding","chrX",133300103,133415489,"-",123,150,105,216
"ENSG00000076770","MBNL3","ENSG00000076770_MBNL3","protein_coding","chrX",132369320,132489968,"-",649,336,267,333
"ENSG00000076826","CAMSAP3","ENSG00000076826_CAMSAP3","protein_coding","chr19",7595863,7618304,"+",748,729,458,851
"ENSG00000076864","RAP1GAP","ENSG00000076864_RAP1GAP","protein_coding","chr1",21596221,21669357,"-",197,385,241,544
"ENSG00000076924","XAB2","ENSG00000076924_XAB2","protein_coding","chr19",7619525,7629545,"-",2001,1540,1591,1849
"ENSG00000076928","ARHGEF1","ENSG00000076928_ARHGEF1","protein_coding","chr19",41883173,41930150,"+",3227,2712,3108,3541
"ENSG00000076944","STXBP2","ENSG00000076944_STXBP2","protein_coding","chr19",7636772,7647873,"+",938,1146,661,935
"ENSG00000076984","MAP2K7","ENSG00000076984_MAP2K7","protein_coding","chr19",7903843,7914478,"+",1604,1300,1042,1722
"ENSG00000077044","DGKD","ENSG00000077044_DGKD","protein_coding","chr2",233354494,233472104,"+",986,718,646,1140
